W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8093185424805,0.0,0.0,0.0,0.0,0.0,0.0,14.4681730270386,0.0,5.72250890731812,0.0,0.0,538.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3861389160156,0.0,0.0,0.0,0.0,0.0,0.0,14.0498371124268,0.0,31.5640277862549,0.0,0.0,541.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0578842163086,0.0,0.0,0.0,0.0,0.0,0.0,15.0437040328979,0.0,16.8984127044678,0.0,0.0,590.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.448860168457,0.0,0.0,0.0,0.0,0.0,0.0,14.8150987625122,0.0,27.7360382080078,0.0,0.0,564.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1264152526855,0.0,0.0,0.0,0.0,0.0,0.0,14.4849281311035,0.0,43.3886604309082,0.0,0.0,496.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7291679382324,0.0,0.0,0.0,0.0,0.0,0.0,15.9189186096191,0.0,22.3519134521484,0.0,0.0,589.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8129501342773,0.0,0.0,0.0,0.0,0.0,0.0,16.2482490539551,0.0,20.9387969970703,0.0,0.0,575.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.8930015563965,0.0,0.0,0.0,0.0,0.0,0.0,16.4769344329834,0.0,19.6300621032715,0.0,0.0,591.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5492477416992,0.0,0.0,0.0,0.0,0.0,0.0,16.696159362793,0.0,18.7545967102051,0.0,0.0,583.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0728530883789,0.0,0.0,0.0,0.0,0.0,0.0,17.039083480835,0.0,16.8880577087402,0.0,0.0,588.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7258377075195,0.0,0.0,0.0,0.0,0.0,0.0,17.1573085784912,0.0,16.1168518066406,0.0,0.0,580.0
